id,name,genre,type,episodes,avg_rating,members
278,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life",TV,12,8.17,171866
279,Wolfs Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,7.93,171863
280,Sakamoto desu ga,"Comedy, School, Seinen",TV,12,7.67,171452
281,Tokyo Ravens,"Comedy, School, Shounen, Super Power, Supernatural",TV,24,7.8,171384
282,Full Metal Panic Fumoffu,"Action, Comedy, School",TV,12,8.21,171086
283,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26,8.06,170901
284,Suisei no Gargantia,"Action, Adventure, Mecha, Sci-Fi",TV,13,7.64,170754
285,Ano Natsu de Matteru,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",TV,12,7.7,169718
286,"Dakara Boku wa, H ga Dekinai","Comedy, Ecchi, Romance, Supernatural",TV,12,6.96,169615
287,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64,7.83,169517
288,Absolute Duo,"Action, Ecchi, Harem, Romance, School, Supernatural",TV,12,6.78,168811
289,Gakusen Toshi Asterisk,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural",TV,12,7.14,168657
290,Musaigen no Phantom World,"Action, Comedy, Fantasy, Slice of Life, Supernatural",TV,13,7.03,168482
291,No6,"Action, Sci-Fi",TV,11,7.76,168017
292,Devil May Cry,"Action, Demons, Fantasy",TV,12,7.15,166398
293,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
294,Orange,"Drama, Romance, School, Sci-Fi, Shoujo",TV,13,7.78,165358
295,Gantz,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,7.27,165335
296,Seto no Hanayome,"Comedy, Parody, Romance, School",TV,26,7.95,165008
297,Hitsugi no Chaika,"Action, Adventure, Comedy, Fantasy, Romance, Shounen",TV,12,7.47,164510
298,Maoyuu Maou Yuusha,"Adventure, Demons, Fantasy, Historical, Romance",TV,12,7.44,164445
299,Paprika,"Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Movie,1,8.15,163308
300,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural",TV,24,8.17,163171
301,Arakawa Under the Bridge,"Comedy, Romance, Seinen",TV,13,7.71,162622
302,Ajin,"Action, Horror, Mystery, Seinen, Supernatural",TV,13,7.78,160972
303,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Drama, Romance, School, Slice of Life",Special,1,8.14,160423
304,Gokukoku no Brynhildr,"Drama, Mystery, Sci-Fi, Seinen",TV,13,7.09,159899
305,Bokura wa Minna Kawaisou,"Comedy, Romance, School, Slice of Life",TV,12,7.9,159793
306,SteinsGate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548
307,Freezing,"Action, Drama, Ecchi, Harem, Martial Arts, Romance, Sci-Fi, Seinen",TV,12,7.2,159273
308,Phantom: Requiem for the Phantom,"Action, Drama, Seinen, Thriller",TV,26,8.16,159105
309,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,24,7.31,158772
310,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561
311,Himouto! Umaru-chan,"Comedy, School, Seinen, Slice of Life",TV,12,7.55,158041
312,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
313,Panty &amp Stocking with Garterbelt,"Action, Comedy, Ecchi, Parody, Supernatural",TV,13,7.79,157642
314,Akagami no Shirayuki-hime,"Drama, Fantasy, Romance, Shoujo",TV,12,7.93,157551
315,Amagami SS,"Comedy, Romance, School, Slice of Life",TV,25,7.57,157223
316,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025
317,C: The Money of Soul and Possibility Control,"Action, Mystery, Super Power, Thriller",TV,11,7.44,156853
318,Mawaru Penguindrum,"Comedy, Drama, Mystery, Psychological",TV,24,8.08,156689
319,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24,7.28,156627
320,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",TV,13,7.32,156116
321,Hagure Yuusha no Aesthetica,"Action, Ecchi, Fantasy, Super Power",TV,12,7.25,156044
322,Saenai Heroine no Sodatekata,"Comedy, Ecchi, Harem, Romance, School",TV,12,7.69,155795
323,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,13,8.06,155340
324,Love Live! School Idol Project,"Music, School, Slice of Life",TV,13,7.7,155281
325,Haiyore! Nyaruko-san,"Comedy, Parody, Sci-Fi",TV,12,7.25,154595
326,D-Frag!,"Comedy, Game, School, Seinen",TV,12,7.75,154548
327,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season","Action, Adventure, Fantasy, Military",TV,12,7.97,153501
328,Arslan Senki (TV),"Action, Adventure, Drama, Fantasy, Historical, Shounen",TV,25,7.88,152811
329,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331
330,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance",TV,13,7.36,151928
331,Bleach Movie 1: Memories of Nobody,"Action, Adventure, Super Power",Movie,1,7.58,151598
332,Bakuman 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
333,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266
334,ef: A Tale of Memories,"Drama, Mystery, Romance",TV,12,8.12,151106
335,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
336,xxxHOLiC,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,24,8.11,150872
337,Free!: Eternal Summer,"Comedy, School, Slice of Life, Sports",TV,13,7.94,150596
338,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,23,7.52,150512
339,Hanasaku Iroha,"Comedy, Drama, Seinen, Slice of Life",TV,26,8.03,150393
340,Denpa Onna to Seishun Otoko,"Comedy, Sci-Fi, Seinen, Slice of Life",TV,12,7.33,149497
341,AldnoahZero 2nd Season,"Action, Mecha, Sci-Fi, Space",TV,12,7.15,149364
342,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
343,Yuru Yuri,"Comedy, School, Shoujo Ai, Slice of Life",TV,12,7.7,148140
344,IS: Infinite Stratos 2,"Action, Comedy, Harem, Mecha, Sci-Fi",TV,12,6.82,146979
345,Shirobako,"Comedy, Drama",TV,24,8.49,146895
346,Sora no Otoshimono: Forte,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,12,7.86,146697
347,Kämpfer,"Action, Comedy, Ecchi, Romance, School, Shoujo Ai, Super Power",TV,12,6.73,146631
348,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
349,Ben-To,"Action, Comedy, Martial Arts",TV,12,7.49,146570
350,Bishoujo Senshi Sailor Moon,"Demons, Magic, Romance, Shoujo",TV,46,7.71,146521
351,Ookami-san to Shichinin no Nakama-tachi,"Comedy, Parody, Romance",TV,12,7.38,145982
352,Seikon no Qwaser,"Action, Ecchi, Seinen, Super Power, Supernatural",TV,24,6.82,145592
353,Dagashi Kashi,"Comedy, Shounen, Slice of Life",TV,12,6.73,145468
354,Ookami Shoujo to Kuro Ouji,"Comedy, Romance, School, Shoujo",TV,12,7.47,145439
355,Ga-Rei: Zero,"Action, Super Power, Supernatural, Thriller",TV,12,7.78,145102
356,Hetalia Axis Powers,"Comedy, Historical, Parody",ONA,52,7.76,144898
357,Inou-Battle wa Nichijou-kei no Naka de,"Comedy, Romance, School, Slice of Life, Supernatural",TV,12,7.34,144370
358,Shingeki no Bahamut: Genesis,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",TV,12,7.77,143701
359,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273
360,Kami nomi zo Shiru Sekai: Megami-hen,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.3,142612
361,Nyan Koi!,"Comedy, Harem, Romance",TV,12,7.39,142264
362,Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",TV,24,7.8,140865
363,91 Days,"Action, Drama, Historical",TV,12,7.93,140604
364,Highschool of the Dead: Drifters of the Dead,"Comedy, Ecchi, Supernatural",OVA,1,6.77,140501
365,Gake no Ue no Ponyo,"Adventure, Fantasy",Movie,1,7.93,140277
366,Gakkougurashi!,"Horror, Mystery, Psychological, School, Slice of Life",TV,12,7.71,140094
367,Isshuukan Friends,"Comedy, School, Shounen, Slice of Life",TV,12,7.7,139601
368,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
369,Angel Beats! Specials,"Action, Comedy, School, Supernatural",Special,2,7.79,139013
370,Final Fantasy VII: Advent Children,"Action, Fantasy, Super Power",Movie,1,7.94,138659
371,Little Busters!,"Comedy, Drama, School, Slice of Life, Supernatural",TV,26,7.64,138655
372,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Drama, Romance, School",Special,1,8.02,138364
373,Mousou Dairinin,"Drama, Mystery, Police, Psychological, Supernatural, Thriller",TV,13,7.74,137687
374,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
375,Jormungand,"Action, Adventure, Seinen",TV,12,7.96,137610
376,Toaru Kagaku no Railgun S,"Action, Sci-Fi, Super Power",TV,24,8.16,137105
377,Netoge no Yome wa Onnanoko ja Nai to Omotta,"Comedy, Ecchi, Game, Romance, School",TV,12,7.17,137102
378,Machine-Doll wa Kizutsukanai,"Action, Ecchi, Fantasy, School, Seinen",TV,12,7.39,136751
379,Itazura na Kiss,"Comedy, Romance, Shoujo",TV,25,7.76,136279
380,Darker than Black: Kuro no Keiyakusha Gaiden,"Action, Mystery, Sci-Fi, Super Power",Special,4,8.09,136135
381,To LOVE-Ru Darkness,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,7.82,135929
382,Mahou Shoujo MadokaMagica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
383,Afro Samurai,"Action, Adventure, Samurai",TV,5,7.41,135708
384,Mirai Nikki Redial,"Action, Psychological, Shounen, Supernatural",OVA,1,7.71,135604
385,Evangelion: 30 You Can (Not) Redo,"Action, Mecha, Sci-Fi",Movie,1,7.71,135318
386,Code:Breaker,"Action, Comedy, School, Shounen, Super Power, Supernatural",TV,13,7.03,135255
387,Motto To LOVE-Ru,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",TV,12,7.61,134988
388,Persona 4 the Animation,"Adventure, Mystery, School, Sci-Fi, Super Power, Supernatural",TV,25,7.68,134942
389,Skip Beat!,"Comedy, Drama, Romance, Shoujo",TV,25,8.28,134818
390,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,"Action, Adventure, Shounen, Supernatural",Movie,1,7.6,134739
391,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,7.67,134705
392,Hibike! Euphonium,"Drama, Music, School",TV,13,8.03,134694
393,Amnesia,"Fantasy, Josei, Mystery, Romance",TV,12,6.39,134349
394,Angel Beats!: Another Epilogue,"Drama, School, Supernatural",Special,1,7.63,134180
395,11eyes,"Action, Ecchi, Super Power, Supernatural",TV,12,6.49,133971
396,Bakuman 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620
397,Hamatora The Animation,"Comedy, Mystery, Super Power",TV,12,7.41,133571
398,Non Non Biyori,"Comedy, School, Seinen, Slice of Life",TV,12,8.05,133475
399,Mikakunin de Shinkoukei,"Comedy, Romance, School, Slice of Life",TV,12,7.59,133385
400,Oda Nobuna no Yabou,"Comedy, Historical, Romance",TV,12,7.7,133216
401,Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",TV,24,7.73,133010
402,Durarara!!x2 Ten,"Action, Mystery, Supernatural",TV,12,8.12,132506
403,YuGiOh! Duel Monsters,"Adventure, Game, Shounen",TV,224,7.57,132099
404,Outbreak Company,"Comedy, Fantasy, Harem, Parody",TV,12,7.52,131520
405,Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,7.83,130689
406,BlackRock Shooter (OVA),"Action, Drama, School, Slice of Life",OVA,1,7.24,130665
407,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,24,8.18,130646
408,Kamisama no Memochou,Mystery,TV,12,7.7,130502
409,Hayate no Gotoku!,"Action, Comedy, Harem, Parody, Romance",TV,52,7.75,130085
410,Dimension W,"Action, Sci-Fi, Seinen",TV,12,7.36,130028
411,MM!,"Comedy, Ecchi, Harem, School",TV,12,7.36,129672
412,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
413,Shijou Saikyou no Deshi Kenichi,"Action, Comedy, Martial Arts, School, Shounen",TV,50,8.25,129112
414,Sousei no Onmyouji,"Action, Fantasy, Shounen, Supernatural",TV,50,7.11,128869
415,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",TV,12,7.57,128688
416,Tamako Market,"Comedy, Slice of Life",TV,12,7.35,128529
417,Acchi Kocchi (TV),"Comedy, Romance, School, Seinen, Slice of Life",TV,12,7.65,127973
418,Akuma no Riddle,"Action, School, Shoujo Ai",TV,12,6.82,127641
419,DNAngel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,26,7.35,126914
420,Umineko no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural",TV,26,7.34,126865
421,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,"Horror, Mystery",OVA,4,7.12,126699
422,Ghost Hunt,"Comedy, Horror, Mystery, Shoujo, Supernatural",TV,25,7.97,126426
423,07-Ghost,"Action, Demons, Fantasy, Magic, Military, Shoujo",TV,25,7.41,126083
424,Kiss x Sis,"Comedy, Ecchi, Harem, Romance, School, Seinen",OVA,12,7.33,125614
425,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
426,Bokura ga Ita,"Drama, Romance, Shoujo, Slice of Life",TV,26,7.54,125051
427,Hanamonogatari,"Comedy, Mystery, Supernatural",TV,5,8.11,124886
428,Seirei Tsukai no Blade Dance,"Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Supernatural",TV,12,7.15,124448
429,Kotoura-san,"Comedy, Drama, Romance, School",TV,12,7.36,123691
430,SpaceDandy,"Comedy, Sci-Fi, Space",TV,13,7.86,123529
431,Canaan,"Action, Seinen",TV,13,7.4,123217
432,Nurarihyon no Mago,"Action, Demons, Shounen, Supernatural",TV,24,7.78,122976
433,Kuroshitsuji: Book of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
434,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531
435,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,"Action, Comedy, Shounen, Super Power, Supernatural",Movie,1,7.66,122373
436,Kanokon,"Comedy, Ecchi, Harem, Romance, School, Shounen, Slice of Life, Supernatural",TV,12,6.74,122288
437,Danna ga Nani wo Itteiru ka Wakaranai Ken,"Comedy, Seinen, Slice of Life",TV,13,7.55,122271
438,Kamisama no Inai Nichiyoubi,"Fantasy, Mystery",TV,12,7.53,122031
439,Sword Art Online: Extra Edition,"Action, Adventure, Fantasy, Game, Romance",Special,1,7.0,121722
440,Tokyo Magnitude 80,Drama,TV,11,8.19,121349
441,Shugo Chara!,"Comedy, Magic, School, Shoujo",TV,51,7.61,121108
442,Shingeki no Kyojin OVA,"Action, Drama, Fantasy, Shounen, Super Power",OVA,3,7.88,121063
443,Dance in the Vampire Bund,"Action, Supernatural, Vampire",TV,12,7.2,121005
444,Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",TV,13,8.07,120731
445,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"Adventure, Comedy, Drama, Historical, Shounen, Supernatural",Movie,1,7.17,120571
446,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,8.24,120351
447,Digimon Adventure 02,"Action, Adventure, Comedy, Drama, Fantasy, Kids",TV,50,7.37,120268
448,JoJo no Kimyou na Bouken: Stardust Crusaders,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.25,120089
449,Omamori Himari,"Action, Comedy, Demons, Ecchi, Harem, Romance, Supernatural",TV,12,7.19,119572
450,True Tears,"Drama, Romance, School",TV,13,7.55,118644
451,Blood-C,"Action, Horror, School, Supernatural, Vampire",TV,12,6.73,118553
452,Sidonia no Kishi,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12,7.87,118341
453,Junjou Romantica,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.08,117910
454,Perfect Blue,"Dementia, Drama, Horror, Psychological",Movie,1,8.23,117565
455,Working!!,"Comedy, Slice of Life",TV,13,7.98,117328
456,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural",TV,13,7.88,117091
457,Mayoiga,"Drama, Horror, Mystery, Psychological",TV,12,5.8,117090
458,Bokusatsu Tenshi Dokuro-chan,"Comedy, Ecchi, Magic",OVA,4,6.85,117080
459,Dragon Ball Kai,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,97,7.95,116832
460,Maji de Watashi ni Koi Shinasai!,"Comedy, Ecchi, Harem, Martial Arts, Romance, School, Super Power",TV,12,7.02,116683
461,Gin no Saji,"Comedy, School, Shounen, Slice of Life",TV,11,8.18,116261
462,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",Special,1,7.34,116129
463,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita,"Comedy, Ecchi, Fantasy, Romance",TV,12,7.07,115338
464,Durarara!!x2 Ketsu,"Action, Mystery, Supernatural",TV,12,8.23,115295
465,K-On! Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252
466,Myself Yourself,"Drama, Romance, School",TV,13,7.41,115075
467,K: Return of Kings,"Action, Super Power, Supernatural",TV,13,7.82,114904
468,Detective Conan,"Adventure, Comedy, Mystery, Police, Shounen",TV,Unknown,8.25,114702
469,Madan no Ou to Vanadis,"Adventure, Ecchi, Fantasy, Harem, Romance",TV,13,7.28,114612
470,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.02,114415
471,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
472,Mirai Nikki,"Action, Shounen, Supernatural",OVA,1,7.51,114217
473,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
474,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
475,Sekirei: Pure Engagement,"Action, Comedy, Ecchi, Harem, Super Power",TV,13,7.61,113911
476,Trinity Blood,"Action, Supernatural, Vampire",TV,24,7.44,113791
477,Oniichan dakedo Ai Sae Areba Kankeinai yo ne!,"Comedy, Ecchi, Harem, Romance, School",TV,12,6.78,113166
478,Golden Boy,"Adventure, Comedy, Ecchi",OVA,6,8.05,113040
479,Grisaia no Rakuen,"Drama, Harem, Psychological, Romance",TV,10,8.08,111962
480,Little Witch Academia,"Adventure, Comedy, Fantasy, Magic, School",Movie,1,8.0,111703
481,Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,Unknown,7.4,111443
482,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074
483,Tsukimonogatari,"Comedy, Mystery, Supernatural",TV,4,8.21,111009
484,Fatestay night Movie: Unlimited Blade Works,"Action, Fantasy, Magic, Supernatural",Movie,1,7.58,110983
485,Asu no Yoichi!,"Comedy, Ecchi, Harem, Martial Arts, Romance, Shounen",TV,12,7.02,110748
486,Seitokai no Ichizon,"Comedy, Harem, Parody, School",TV,12,7.52,110470
487,hackSign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",TV,26,7.14,110304
488,Medaka Box,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,12,7.21,110042
489,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
490,Kara no Kyoukai 3: Tsuukaku Zanryuu,"Action, Drama, Mystery, Supernatural, Thriller",Movie,1,8.21,108720
491,Mangaka-san to Assistant-san to The Animation,"Comedy, Ecchi, Harem, Seinen, Slice of Life",TV,12,7.37,108642
492,Karneval (TV),"Action, Fantasy, Mystery, Sci-Fi, Shoujo",TV,13,7.36,108174
493,Naruto: Shippuuden Movie 1,"Action, Adventure, Comedy, Fantasy, Shounen",Movie,1,7.43,108170
494,Black Lagoon: Robertas Blood Trail,"Action, Seinen",OVA,5,8.15,108099
495,Kuragehime,"Comedy, Josei, Slice of Life",TV,11,8.24,108053
496,Sakura Trick,"Comedy, Romance, School, Seinen, Shoujo Ai, Slice of Life",TV,12,7.2,108011
497,Diabolik Lovers,"Harem, School, Shoujo, Vampire",TV,12,5.81,107960
498,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
499,Gatchaman Crowds,"Adventure, Sci-Fi",TV,12,7.47,107513
500,Nabari no Ou,"Action, Comedy, Drama, Fantasy, Shounen, Supernatural",TV,26,7.44,107384
501,Tales of Zestiria the X,"Action, Adventure, Fantasy",TV,12,7.6,107325
502,RoboticsNotes,"Drama, Mystery, School, Sci-Fi",TV,22,7.43,107304
503,Kokoro Connect: Michi Random,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",Special,4,8.19,106989
504,Seirei no Moribito,"Action, Adventure, Fantasy, Historical",TV,26,8.24,106888
505,World Trigger,"Action, School, Sci-Fi, Shounen, Supernatural",TV,73,7.75,106872
506,Gunslinger Girl,"Action, Drama, Military, Psychological, Sci-Fi",TV,13,7.55,106865
507,Arcana Famiglia,"Action, Harem, Romance, Shoujo",TV,12,6.43,106391
508,Fatestay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
509,Witch Craft Works,"Action, Fantasy, Magic, Seinen, Supernatural",TV,12,7.22,106381
510,Karin,"Comedy, Romance, School, Shounen, Vampire",TV,24,7.33,106142
511,Uta noPrince-sama Maji Love 1000%,"Comedy, Harem, Music, Romance, School, Shoujo",TV,13,7.37,105723
512,Minami-ke,"Comedy, School, Slice of Life",TV,13,7.81,105471
513,Ranma ½,"Comedy, Fantasy, Martial Arts, Slice of Life",TV,161,7.87,105212
514,Ao no Exorcist Movie,"Action, Demons, Fantasy, Shounen, Supernatural",Movie,1,7.88,105183
515,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
516,Detroit Metal City,"Comedy, Music",OVA,12,8.26,104893
517,Noragami OVA,"Action, Adventure, Shounen",OVA,2,7.89,104775
518,MariaHolic,"Comedy, Parody, School, Shoujo Ai",TV,12,7.18,104663
519,Busou Renkin,"Action, Comedy, Fantasy, School, Shounen, Supernatural",TV,26,7.51,104607
520,Girls und Panzer,"Military, School",TV,12,7.66,104275
521,Genshiken,"Comedy, Parody, Slice of Life",TV,12,7.76,104258
522,Last Exile,"Action, Adventure, Sci-Fi",TV,26,7.94,104193
523,Mahou Sensou,"Action, Fantasy, Magic",TV,12,6.18,104192
524,Maken-Ki!,"Action, Ecchi, Harem, Martial Arts, School, Super Power",TV,12,6.69,104182
525,Princess Lover!,"Comedy, Ecchi, Harem, School",TV,12,7.03,104098
526,Tiger &amp Bunny,"Action, Comedy, Mystery, Super Power",TV,25,8.12,104075
527,"Kumo no Mukou, Yakusoku no Basho","Drama, Military, Romance, Sci-Fi",Movie,1,7.89,103975
528,Gankutsuou,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,8.27,103828
529,ef: A Tale of Melodies,"Drama, Mystery, Romance, Supernatural",TV,12,8.18,103657
530,Chrome Shelled Regios,"Action, Adventure, Fantasy, School, Sci-Fi",TV,24,7.57,103615
531,Kara no Kyoukai 4: Garan no Dou,"Action, Mystery, Supernatural, Thriller",Movie,1,8.05,103600
532,Tenjou Tenge,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",TV,24,7.1,103449
533,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178
534,Durarara!! Specials,"Action, Comedy, Supernatural",Special,2,8.04,103105
535,Drifters,"Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen",TV,12,7.93,102857
536,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822
537,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733
538,Joker Game,"Drama, Historical, Military",TV,12,7.21,102560
539,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
540,Neon Genesis Evangelion: Death &amp Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,7.51,102093
541,Higashi no Eden Movie I: The King of Eden,"Comedy, Drama, Mystery, Romance, Slice of Life, Thriller",Movie,1,7.74,101734
542,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",ONA,4,7.66,101495
543,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351
544,Tanaka-kun wa Itsumo Kedaruge,"Comedy, School, Slice of Life",TV,12,8.1,101335
545,Ryuugajou Nanana no Maizoukin (TV),"Comedy, Supernatural",TV,11,7.33,101326
546,Gakusen Toshi Asterisk 2nd Season,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi, Supernatural",TV,12,7.32,101287
547,Devil Survivor 2 The Animation,"Action, Demons, Supernatural",TV,13,7.06,101266
548,SKET Dance,"Comedy, School, Shounen",TV,77,8.36,101027
549,Kantai Collection: KanColle,"Action, Military, School, Sci-Fi, Slice of Life",TV,12,7.04,100999
550,C³,"Action, Comedy, Ecchi, School, Supernatural",TV,12,6.88,100425
551,Baccano! Specials,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",Special,3,8.29,100412
552,Fatekaleid liner PrismaIllya,"Action, Comedy, Fantasy, Magic",TV,10,7.28,100392
553,Pokemon: Mewtwo no Gyakushuu,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.66,100089
554,Nazo no Kanojo X,"Ecchi, Romance, School, Seinen",TV,13,7.4,99788
555,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,TV,12,7.49,99665
556,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
557,OnegaiTeacher,"Comedy, Drama, Romance, School, Sci-Fi",TV,12,7.35,99558
558,Clannad Movie,"Drama, Fantasy, Romance, School",Movie,1,7.35,99506
559,Higurashi no Naku Koro ni Rei,"Comedy, Mystery, Psychological, Supernatural, Thriller",OVA,5,7.56,99463
560,Soredemo Sekai wa Utsukushii,"Adventure, Fantasy, Romance, Shoujo",TV,12,7.8,99462
561,Taboo Tattoo,"Action, Comedy, Martial Arts, Mystery, Super Power, Supernatural",TV,12,6.11,99460
